slug,locale,name,description,meta_title,meta_description
automatic-espresso-machine,de,Kaffeevollautomat,"Vollautomatische Bean-to-Cup-Espressomaschine mit Keramikmahlwerk, 15-bar-Drucksystem und intuitivem Touchdisplay. Liefert Espresso, Cappuccino und Latte auf Knopfdruck in Barista-Qualität.",Kaffeevollautomat | Spree Commerce Demo,"Kaffeevollautomat mit Keramikmahlwerk und 15-bar-Drucksystem. Barista-Qualität auf Knopfdruck."
automatic-espresso-machine,fr,Machine Espresso Automatique,"Machine espresso automatique grain-à-tasse avec broyeur céramique, système de pression 15 bars et écran tactile intuitif. Prépare espresso, cappuccino et latte d'une simple pression.",Machine Espresso Automatique | Spree Commerce Demo,"Machine espresso automatique avec broyeur céramique et pression 15 bars. Qualité barista à portée de main."
semi-automatic-espresso-machine,de,Siebträger-Espressomaschine,"Professionelle Siebträgermaschine mit 58mm-Siebträger, PID-Temperaturregelung und Dampflanze zum manuellen Milchaufschäumen.",Siebträger-Espressomaschine | Spree Commerce Demo,"Professionelle Siebträgermaschine mit PID-Temperaturregelung und 58mm-Siebträger für Barista-Erlebnisse zu Hause."
semi-automatic-espresso-machine,fr,Machine Espresso Semi-Automatique,"Machine espresso semi-automatique de qualité professionnelle avec porte-filtre 58mm, régulation PID de la température et buse vapeur pour le moussage manuel du lait.",Machine Espresso Semi-Automatique | Spree Commerce Demo,"Machine espresso semi-automatique professionnelle avec porte-filtre 58mm et régulation PID de la température."
drip-coffee-maker,de,Filterkaffeemaschine 1.5L,"Programmierbare Filterkaffeemaschine mit Thermoskanne, einstellbarer Brühstärke und 24-Stunden-Timer. Brüht bis zu 12 Tassen.",Filterkaffeemaschine 1.5L | Spree Commerce Demo,"Programmierbare Filterkaffeemaschine mit Thermoskanne und 24-Stunden-Timer. Bis zu 12 Tassen auf einmal."
drip-coffee-maker,fr,Cafetière Filtre 1.5L,"Cafetière filtre programmable avec carafe isotherme, intensité d'infusion réglable et minuterie 24 heures. Prépare jusqu'à 12 tasses.",Cafetière Filtre 1.5L | Spree Commerce Demo,"Cafetière filtre programmable avec carafe isotherme et minuterie 24 heures. Jusqu'à 12 tasses."
digital-air-fryer-4l,de,Digitale Heißluftfritteuse 4.2L,"Kompakte digitale Heißluftfritteuse mit 8 Voreinstellungen, Rapid-Air-Technologie und spülmaschinenfestem Korb. Ideal für kleine Haushalte.",Digitale Heißluftfritteuse 4.2L | Spree Commerce Demo,"Kompakte Heißluftfritteuse mit 8 Programmen und Rapid-Air-Technologie. Perfekt für kleine Haushalte."
digital-air-fryer-4l,fr,Friteuse à Air Numérique 4.2L,"Friteuse à air compacte avec 8 programmes prédéfinis, technologie de circulation d'air rapide et panier compatible lave-vaisselle. Idéale pour les petits foyers.",Friteuse à Air Numérique 4.2L | Spree Commerce Demo,"Friteuse à air compacte avec 8 programmes et circulation d'air rapide. Parfaite pour les petits foyers."
digital-air-fryer-6l,de,Digitale Heißluftfritteuse 6.2L,"Große digitale Heißluftfritteuse mit Touchscreen-Steuerung, 8 Voreinstellungen und Sichtfenster. Für Familien mit 4-6 Personen.",Digitale Heißluftfritteuse 6.2L | Spree Commerce Demo,"Große Heißluftfritteuse mit Touchscreen und Sichtfenster. Ideal für Familien mit 4 bis 6 Personen."
digital-air-fryer-6l,fr,Friteuse à Air Numérique 6.2L,"Friteuse à air grande capacité avec commandes tactiles, 8 programmes et fenêtre de visualisation transparente. Pour les familles de 4 à 6 personnes.",Friteuse à Air Numérique 6.2L | Spree Commerce Demo,"Friteuse à air grande capacité avec écran tactile et hublot. Idéale pour les familles de 4 à 6 personnes."
dual-basket-air-fryer,de,Doppelkorb-Heißluftfritteuse 8L,"Heißluftfritteuse mit zwei unabhängigen 4L-Körben, Sync-Finish-Technologie und 12 Garprogrammen. Zwei Gerichte gleichzeitig bei unterschiedlichen Temperaturen zubereiten.",Doppelkorb-Heißluftfritteuse 8L | Spree Commerce Demo,"Doppelkorb-Heißluftfritteuse mit Sync-Finish-Technologie. Zwei Gerichte gleichzeitig zubereiten."
dual-basket-air-fryer,fr,Friteuse à Air Double Panier 8L,"Friteuse à air à double zone avec deux paniers indépendants de 4L, technologie de finition synchronisée et 12 programmes de cuisson. Cuisinez deux plats simultanément à des températures différentes.",Friteuse à Air Double Panier 8L | Spree Commerce Demo,"Friteuse à air double panier avec finition synchronisée et 12 programmes. Deux plats à la fois."
high-speed-blender,de,Hochleistungsmixer 2.0L,"Professioneller Mixer mit 1500W-Motor, stufenlosem Geschwindigkeitsregler, Pulsfunktion und BPA-freiem Tritan-Krug. Zerkleinert Eis und mixt gefrorenes Obst mühelos.",Hochleistungsmixer 2.0L | Spree Commerce Demo,"Professioneller Hochleistungsmixer mit 1500W-Motor und BPA-freiem Tritan-Krug. Zerkleinert mühelos Eis und gefrorenes Obst."
high-speed-blender,fr,Blender Haute Puissance 2.0L,"Blender de qualité professionnelle avec moteur 1500W, variateur de vitesse continu, fonction pulse et pichet Tritan sans BPA. Broie la glace et mixe les fruits congelés sans effort.",Blender Haute Puissance 2.0L | Spree Commerce Demo,"Blender professionnel 1500W avec pichet Tritan sans BPA. Broie la glace et les fruits congelés sans effort."
personal-blender,de,Einzelportionsmixer 600ml,"Kompakter Einzelportionsmixer mit tragbarem Trinkbecher. Mixen und mitnehmen in Sekunden. Alle Teile spülmaschinenfest.",Einzelportionsmixer 600ml | Spree Commerce Demo,"Kompakter Mixer mit tragbarem Becher. Mixen und mitnehmen. Alle Teile spülmaschinenfest."
personal-blender,fr,Blender Individuel 600ml,"Blender compact individuel avec gobelet de transport. Mixez et emportez en quelques secondes. Tous les éléments passent au lave-vaisselle.",Blender Individuel 600ml | Spree Commerce Demo,"Blender individuel compact avec gobelet de transport. Mixez et emportez. Compatible lave-vaisselle."
electric-kettle-1-7l,de,Elektrischer Wasserkocher 1.7L,"Wasserkocher mit Schnellkochfunktion, verdecktem Heizelement, 360-Grad-Sockel, Wasserstandsanzeige und automatischer Abschaltung. Kocht eine volle Kanne in unter 3 Minuten.",Elektrischer Wasserkocher 1.7L | Spree Commerce Demo,"Wasserkocher mit Schnellkochfunktion und 360-Grad-Sockel. Kocht in unter 3 Minuten. Automatische Abschaltung."
electric-kettle-1-7l,fr,Bouilloire Électrique 1.7L,"Bouilloire à ébullition rapide avec élément caché, base pivotante 360 degrés, indicateur de niveau d'eau et arrêt automatique. Fait bouillir une bouilloire pleine en moins de 3 minutes.",Bouilloire Électrique 1.7L | Spree Commerce Demo,"Bouilloire à ébullition rapide avec base 360 degrés et arrêt automatique. Pleine capacité en moins de 3 minutes."
temperature-control-kettle,de,Wasserkocher mit Temperaturwahl 1.7L,"Wasserkocher mit 5 Temperaturstufen (40-100°C), Warmhaltefunktion und LED-Temperaturanzeige. Ideal für Spezialitätentee und Pour-Over-Kaffee.",Wasserkocher mit Temperaturwahl 1.7L | Spree Commerce Demo,"Wasserkocher mit 5 Temperaturstufen und Warmhaltefunktion. Perfekt für Tee und Pour-Over-Kaffee."
temperature-control-kettle,fr,Bouilloire à Température Variable 1.7L,"Bouilloire à température réglable avec 5 niveaux de chauffe (40-100°C), fonction maintien au chaud et affichage LED de la température. Idéale pour les thés de spécialité et le café filtre.",Bouilloire à Température Variable 1.7L | Spree Commerce Demo,"Bouilloire à température réglable avec 5 niveaux et maintien au chaud. Idéale pour les thés fins et le café filtre."
2-slice-toaster,de,2-Scheiben-Toaster,"Kompakter 2-Scheiben-Toaster mit 7 Bräunungsstufen, Auftau- und Aufwärmfunktion, extra breiten Schlitzen und herausnehmbarer Krümelschublade.",2-Scheiben-Toaster | Spree Commerce Demo,"Kompakter 2-Scheiben-Toaster mit 7 Bräunungsstufen und Auftaufunktion. Extra breite Schlitze für jedes Brot."
2-slice-toaster,fr,Grille-Pain 2 Tranches,"Grille-pain compact 2 tranches avec 7 niveaux de dorage, fonctions décongélation et réchauffage, fentes extra-larges et tiroir ramasse-miettes amovible.",Grille-Pain 2 Tranches | Spree Commerce Demo,"Grille-pain compact 2 tranches avec 7 niveaux de dorage et fonctions décongélation et réchauffage."
4-slice-toaster,de,4-Scheiben-Toaster,"Breiter 4-Scheiben-Toaster mit zwei unabhängigen Bedienfeldern, 7 Bräunungsstufen, Bagel-Funktion und Hochhebefunktion für kleine Brotstücke.",4-Scheiben-Toaster | Spree Commerce Demo,"4-Scheiben-Toaster mit unabhängiger Doppelsteuerung und 7 Bräunungsstufen. Bagel-Funktion inklusive."
4-slice-toaster,fr,Grille-Pain 4 Tranches,"Grille-pain large 4 tranches avec doubles commandes indépendantes, 7 niveaux de dorage, mode bagel et levier de surélèvement pour les petits formats.",Grille-Pain 4 Tranches | Spree Commerce Demo,"Grille-pain 4 tranches avec doubles commandes indépendantes et 7 niveaux de dorage. Mode bagel inclus."
food-processor-3l,de,Küchenmaschine 3.0L,"Vielseitige Küchenmaschine mit 1000W-Motor, Edelstahl-S-Messer, Schneid- und Raspelscheiben, Knethaken und Zitruspresse.",Küchenmaschine 3.0L | Spree Commerce Demo,"Vielseitige Küchenmaschine mit 1000W-Motor und umfangreichem Zubehör. Schneiden, raspeln, kneten und pressen."
food-processor-3l,fr,Robot Culinaire 3.0L,"Robot culinaire polyvalent avec moteur 1000W, lame en S inox, disques à trancher et râper, crochet pétrisseur et presse-agrumes.",Robot Culinaire 3.0L | Spree Commerce Demo,"Robot culinaire polyvalent 1000W avec lame inox, disques et presse-agrumes. Un assistant complet pour la cuisine."
air-purifier-compact,de,Kompakter Luftreiniger,"Kompakter HEPA-Luftreiniger für Räume bis 25m². Dreischichtige Filtration fängt 99,97% aller Partikel ab 0,3 Mikron auf. Ultraleiser Nachtmodus bei 30dB.",Kompakter Luftreiniger | Spree Commerce Demo,"Kompakter HEPA-Luftreiniger für Räume bis 25m². Filtert 99,97% aller Partikel. Ultraleiser Nachtmodus."
air-purifier-compact,fr,Purificateur d'Air Compact,"Purificateur d'air compact HEPA pour pièces jusqu'à 25m². Filtration triple couche capturant 99,97% des particules dès 0,3 micron. Mode nuit ultra-silencieux à 30dB.",Purificateur d'Air Compact | Spree Commerce Demo,"Purificateur d'air compact HEPA pour pièces jusqu'à 25m². Capture 99,97% des particules. Mode nuit silencieux."
air-purifier-tower,de,Turm-Luftreiniger,"Leistungsstarker Turm-Luftreiniger für Räume bis 80m². True-HEPA-H13-Filter, Echtzeit-Luftqualitäts-LED-Ring, Automatikmodus und App-Steuerung.",Turm-Luftreiniger | Spree Commerce Demo,"Turm-Luftreiniger mit True-HEPA-H13-Filter für Räume bis 80m². Echtzeit-Luftqualitätsanzeige und App-Steuerung."
air-purifier-tower,fr,Purificateur d'Air Tour,"Purificateur d'air tour haute performance pour pièces jusqu'à 80m². Filtre True HEPA H13, anneau LED de qualité de l'air en temps réel, mode automatique et connectivité via application.",Purificateur d'Air Tour | Spree Commerce Demo,"Purificateur d'air tour HEPA H13 pour pièces jusqu'à 80m². Indicateur LED en temps réel et pilotage par application."
air-purifier-pro,de,Luftreiniger Pro,"Premium-Luftreiniger für Räume bis 120m². HEPA-H13- und Aktivkohlefilter, VOC-Sensor, Automatikmodus und flüsternder Betrieb. Entfernt Allergene, Rauch und Gerüche.",Luftreiniger Pro | Spree Commerce Demo,"Premium-Luftreiniger mit HEPA-H13- und Aktivkohlefilter für Räume bis 120m². Entfernt Allergene, Rauch und Gerüche."
air-purifier-pro,fr,Purificateur d'Air Pro,"Purificateur d'air premium pour pièces jusqu'à 120m². Filtre HEPA H13 et charbon actif, capteur COV, mode automatique et fonctionnement ultra-silencieux. Élimine allergènes, fumée et odeurs.",Purificateur d'Air Pro | Spree Commerce Demo,"Purificateur d'air premium HEPA H13 et charbon actif pour pièces jusqu'à 120m². Élimine allergènes et odeurs."
ultrasonic-humidifier-2l,de,Ultraschall-Luftbefeuchter 2.0L,"Leiser Ultraschall-Luftbefeuchter für Räume bis 30m². Regulierbarer Nebelausstoß, 20 Stunden Laufzeit, automatische Abschaltung bei leerem Tank und optionales Aromafach.",Ultraschall-Luftbefeuchter 2.0L | Spree Commerce Demo,"Leiser Ultraschall-Luftbefeuchter für Räume bis 30m². 20 Stunden Laufzeit mit optionalem Aromafach."
ultrasonic-humidifier-2l,fr,Humidificateur Ultrasonique 2.0L,"Humidificateur ultrasonique silencieux pour pièces jusqu'à 30m². Débit de brume réglable, autonomie de 20 heures, arrêt automatique à vide et bac d'huiles essentielles en option.",Humidificateur Ultrasonique 2.0L | Spree Commerce Demo,"Humidificateur ultrasonique silencieux avec 20 heures d'autonomie pour pièces jusqu'à 30m²."
smart-humidifier-4l,de,Smarter Luftbefeuchter 4.0L,"Großer smarter Luftbefeuchter mit Feuchtigkeitssensor, Automatikmodus, App-Steuerung und 40 Stunden Laufzeit. Für Räume bis 50m².",Smarter Luftbefeuchter 4.0L | Spree Commerce Demo,"Smarter Luftbefeuchter mit App-Steuerung und 40 Stunden Laufzeit. Für Räume bis 50m²."
smart-humidifier-4l,fr,Humidificateur Connecté 4.0L,"Humidificateur grande capacité avec capteur d'humidité, mode automatique, contrôle via application et autonomie de 40 heures. Couvre les pièces jusqu'à 50m².",Humidificateur Connecté 4.0L | Spree Commerce Demo,"Humidificateur connecté avec capteur d'humidité et 40 heures d'autonomie. Pour pièces jusqu'à 50m²."
tower-fan,de,Turmventilator 100cm,"Schlanker oszillierender Turmventilator mit 3 Geschwindigkeitsstufen, Naturwind-Modus, 8-Stunden-Timer und Fernbedienung. Platzsparendes Design für Schlafzimmer und Büro.",Turmventilator 100cm | Spree Commerce Demo,"Schlanker Turmventilator mit 3 Stufen, Naturwind-Modus und Fernbedienung. Platzsparend für Schlafzimmer und Büro."
tower-fan,fr,Ventilateur Colonne 100cm,"Ventilateur colonne oscillant avec 3 vitesses, mode brise naturelle, minuterie 8 heures et télécommande. Design compact pour chambres et bureaux.",Ventilateur Colonne 100cm | Spree Commerce Demo,"Ventilateur colonne oscillant avec 3 vitesses et télécommande. Design compact pour chambres et bureaux."
pedestal-fan,de,Standventilator 40cm,"Höhenverstellbarer Standventilator mit 40cm Rotordurchmesser, 3 Geschwindigkeitsstufen, Oszillation und Neigungsverstellung. Leiser Betrieb für Zuhause und Büro.",Standventilator 40cm | Spree Commerce Demo,"Höhenverstellbarer Standventilator mit 40cm Rotordurchmesser und 3 Stufen. Leiser Betrieb für Zuhause und Büro."
pedestal-fan,fr,Ventilateur sur Pied 40cm,"Ventilateur sur pied à hauteur réglable avec pale de 40cm, 3 vitesses, oscillation et inclinaison ajustable. Fonctionnement silencieux pour la maison ou le bureau.",Ventilateur sur Pied 40cm | Spree Commerce Demo,"Ventilateur sur pied réglable avec pale de 40cm et 3 vitesses. Silencieux pour la maison et le bureau."
steam-generator-iron,de,Dampfbügelstation,"Dampfbügelstation mit Keramik-Bügelsohle, 180g/min Dampfstoß, 1.8L-Tank und Antikalk-System. Glättet mühelos alle Stoffe.",Dampfbügelstation | Spree Commerce Demo,"Dampfbügelstation mit Keramik-Bügelsohle und 180g/min Dampfstoß. Glättet alle Stoffe mühelos."
steam-generator-iron,fr,Centrale Vapeur,"Centrale vapeur haute pression avec semelle céramique, effet pressing 180g/min, réservoir 1.8L et système anti-calcaire. Vient à bout des plis sur tous les textiles.",Centrale Vapeur | Spree Commerce Demo,"Centrale vapeur avec semelle céramique et pressing 180g/min. Vient à bout de tous les plis facilement."
handheld-garment-steamer,de,Handdampfglätter,"Tragbarer Handdampfglätter mit 200ml-Tank, 25 Sekunden Aufheizzeit und kontinuierlichem Dampf für schnelles Auffrischen hängender Kleidung.",Handdampfglätter | Spree Commerce Demo,"Tragbarer Handdampfglätter mit 200ml-Tank und 25 Sekunden Aufheizzeit. Ideal für schnelles Auffrischen."
handheld-garment-steamer,fr,Défroisseur à Main,"Défroisseur portable avec réservoir 200ml, chauffe en 25 secondes et vapeur continue pour retouches rapides sur vêtements suspendus.",Défroisseur à Main | Spree Commerce Demo,"Défroisseur portable avec réservoir 200ml et chauffe rapide en 25 secondes. Retouches rapides sur vêtements."
professional-garment-steamer,de,Professioneller Dampfglätter,"Stehender Dampfglätter mit 1.5L-Tank, Teleskopstange, Kleiderbügel und 45 Minuten Dauerdampf. Heizplatte zum Einbügeln von Falten.",Professioneller Dampfglätter | Spree Commerce Demo,"Professioneller stehender Dampfglätter mit 1.5L-Tank und 45 Minuten Dauerdampf. Mit Heizplatte für Falten."
professional-garment-steamer,fr,Défroisseur Professionnel,"Défroisseur vertical avec réservoir 1.5L, tige télescopique, cintre intégré et 45 minutes de vapeur continue. Plaque chauffante pour marquer les plis.",Défroisseur Professionnel | Spree Commerce Demo,"Défroisseur vertical professionnel avec réservoir 1.5L et 45 minutes de vapeur continue. Plaque chauffante incluse."
steam-iron,de,Dampfbügeleisen 2400W,"Leistungsstarkes Dampfbügeleisen mit Keramik-Bügelsohle, 45g/min Dauerdampf, 150g Dampfstoß, Antitropf-System und Selbstreinigungsfunktion.",Dampfbügeleisen 2400W | Spree Commerce Demo,"Dampfbügeleisen mit Keramik-Bügelsohle und 150g Dampfstoß. Antitropf und Selbstreinigung inklusive."
steam-iron,fr,Fer à Repasser Vapeur 2400W,"Fer à repasser vapeur puissant avec semelle céramique, vapeur continue 45g/min, effet pressing 150g, anti-goutte et fonction auto-nettoyante.",Fer à Repasser Vapeur 2400W | Spree Commerce Demo,"Fer à repasser vapeur 2400W avec semelle céramique et pressing 150g. Anti-goutte et auto-nettoyant."
cordless-stick-vacuum-18v,de,Kabelloser Stabstaubsauger 18V,"Leichter kabelloser Stabstaubsauger mit 35 Minuten Laufzeit, motorisierter Bürstendüse, LED-Scheinwerfern und 2-in-1-Design zur Umwandlung in einen Handstaubsauger.",Kabelloser Stabstaubsauger 18V | Spree Commerce Demo,"Leichter kabelloser Stabstaubsauger mit 35 Minuten Laufzeit und 2-in-1-Design. LED-Scheinwerfer inklusive."
cordless-stick-vacuum-18v,fr,Aspirateur Balai Sans Fil 18V,"Aspirateur balai sans fil léger avec 35 minutes d'autonomie, brosse motorisée, éclairage LED et conception 2-en-1 convertible en aspirateur à main.",Aspirateur Balai Sans Fil 18V | Spree Commerce Demo,"Aspirateur balai sans fil avec 35 minutes d'autonomie et conception 2-en-1. Brosse motorisée et LED."
cordless-stick-vacuum-25v,de,Kabelloser Stabstaubsauger 25V,"Leistungsstarker kabelloser Staubsauger mit 60 Minuten Laufzeit, Zyklon-Filtration, motorisierter Multiflächen-Düse und Wischaufsatz. 3-in-1-Vielseitigkeit.",Kabelloser Stabstaubsauger 25V | Spree Commerce Demo,"Leistungsstarker kabelloser Staubsauger mit 60 Minuten Laufzeit und Wischfunktion. 3-in-1-Vielseitigkeit."
cordless-stick-vacuum-25v,fr,Aspirateur Balai Sans Fil 25V,"Aspirateur balai sans fil haute performance avec 60 minutes d'autonomie, filtration cyclonique, brosse multi-surfaces motorisée et accessoire serpillère. Polyvalence 3-en-1.",Aspirateur Balai Sans Fil 25V | Spree Commerce Demo,"Aspirateur balai sans fil haute performance avec 60 minutes d'autonomie et serpillère. Polyvalence 3-en-1."
bagless-upright-vacuum,de,Beutelloser Standstaubsauger,"Leistungsstarker beutelloser Standstaubsauger mit Zyklon-Technologie, HEPA-Filtration, 1.5L-Staubbehälter und 8m Stromkabel. Multiflächen-Düse inklusive.",Beutelloser Standstaubsauger | Spree Commerce Demo,"Beutelloser Standstaubsauger mit Zyklon-Technologie und HEPA-Filter. Multiflächen-Düse für alle Böden."
bagless-upright-vacuum,fr,Aspirateur Vertical Sans Sac,"Aspirateur vertical sans sac puissant avec technologie cyclonique, filtration HEPA, bac à poussière 1.5L et cordon 8m. Brosse multi-surfaces incluse.",Aspirateur Vertical Sans Sac | Spree Commerce Demo,"Aspirateur vertical sans sac avec technologie cyclonique et filtration HEPA. Brosse multi-surfaces incluse."
robot-vacuum,de,Saugroboter,"Smarter Saugroboter mit Gyroskop-Navigation, 2500Pa Saugkraft, 120 Minuten Laufzeit, flachem 7cm Profil und App-Zeitplanung. Kehrt automatisch zur Ladestation zurück.",Saugroboter | Spree Commerce Demo,"Smarter Saugroboter mit 2500Pa Saugkraft und 120 Minuten Laufzeit. Flaches 7cm-Profil mit App-Steuerung."
robot-vacuum,fr,Robot Aspirateur,"Robot aspirateur intelligent avec navigation gyroscopique, aspiration 2500Pa, autonomie de 120 minutes, profil fin de 7cm et programmation via application. Retour automatique à la base de charge.",Robot Aspirateur | Spree Commerce Demo,"Robot aspirateur avec aspiration 2500Pa et 120 minutes d'autonomie. Profil fin de 7cm et pilotage via application."
robot-vacuum-pro,de,Saugroboter Pro,"Fortschrittlicher Saugroboter mit LiDAR-Navigation, 5000Pa Saugkraft, Absaugstation, Wischfunktion und Mehretagen-Kartierung per App.",Saugroboter Pro | Spree Commerce Demo,"Premium-Saugroboter mit LiDAR-Navigation und 5000Pa Saugkraft. Absaugstation und Wischfunktion inklusive."
robot-vacuum-pro,fr,Robot Aspirateur Pro,"Robot aspirateur avancé avec navigation LiDAR, aspiration 5000Pa, station de vidange automatique, fonction serpillère et cartographie multi-étages via application.",Robot Aspirateur Pro | Spree Commerce Demo,"Robot aspirateur premium avec navigation LiDAR et 5000Pa. Station de vidange automatique et fonction serpillère."
ionic-hair-dryer,de,Ionen-Haartrockner 2000W,"Professioneller Ionen-Haartrockner mit 2000W-Motor, 3 Temperaturstufen, 2 Geschwindigkeitsstufen, Kaltstufe und Stylingdüse. Reduziert Frizz und verkürzt die Trockenzeit.",Ionen-Haartrockner 2000W | Spree Commerce Demo,"Professioneller Ionen-Haartrockner mit 2000W und Kaltstufe. Reduziert Frizz und verkürzt die Trockenzeit."
ionic-hair-dryer,fr,Sèche-Cheveux Ionique 2000W,"Sèche-cheveux ionique professionnel avec moteur 2000W, 3 réglages de chaleur, 2 vitesses, touche air froid et buse concentratrice. Réduit les frisottis et accélère le séchage.",Sèche-Cheveux Ionique 2000W | Spree Commerce Demo,"Sèche-cheveux ionique professionnel 2000W avec buse concentratrice. Réduit les frisottis et le temps de séchage."
travel-hair-dryer,de,Kompakter Reise-Haartrockner,"Klappbarer Reise-Haartrockner mit Doppelspannung (110/220V), 1600W, 2 Temperaturstufen und kompakter Transporttasche. Leichtgewicht mit nur 450g.",Kompakter Reise-Haartrockner | Spree Commerce Demo,"Klappbarer Reise-Haartrockner mit Doppelspannung 110/220V und nur 450g. Inklusive Transporttasche."
travel-hair-dryer,fr,Sèche-Cheveux de Voyage Compact,"Sèche-cheveux de voyage pliable avec double tension (110/220V), 1600W, 2 réglages de chaleur et pochette de transport compacte. Ultra-léger à seulement 450g.",Sèche-Cheveux de Voyage Compact | Spree Commerce Demo,"Sèche-cheveux de voyage pliable avec double tension 110/220V et pochette. Ultra-léger à 450g."
ceramic-hair-straightener,de,Keramik-Haarglätter,"Professioneller Keramik-Haarglätter mit schwimmend gelagerten Platten, einstellbarer Temperatur (150-230°C), Ionen-Pflege, 30 Sekunden Aufheizzeit und automatischer Abschaltung.",Keramik-Haarglätter | Spree Commerce Demo,"Professioneller Keramik-Haarglätter mit 150-230°C und 30 Sekunden Aufheizzeit. Ionen-Pflege und Auto-Abschaltung."
ceramic-hair-straightener,fr,Lisseur Céramique,"Lisseur céramique professionnel avec plaques flottantes, température réglable (150-230°C), soin ionique, chauffe en 30 secondes et arrêt automatique.",Lisseur Céramique | Spree Commerce Demo,"Lisseur céramique professionnel avec plaques flottantes et 150-230°C. Chauffe en 30 secondes avec arrêt automatique."
beard-trimmer-3000,de,Barttrimmer 3000,"Präzisionstrimmer mit 20 Längenstufen (0,5-10mm), Titanklingen, 60 Minuten kabelloser Laufzeit und abwaschbarem Scherkopf.",Barttrimmer 3000 | Spree Commerce Demo,"Präzisionstrimmer mit 20 Längenstufen und Titanklingen. 60 Minuten kabellose Laufzeit. Abwaschbar."
beard-trimmer-3000,fr,Tondeuse à Barbe 3000,"Tondeuse à barbe de précision avec 20 hauteurs de coupe (0,5-10mm), lames en titane, 60 minutes d'autonomie sans fil et tête lavable.",Tondeuse à Barbe 3000 | Spree Commerce Demo,"Tondeuse à barbe de précision avec 20 réglages et lames titane. 60 minutes d'autonomie sans fil."
beard-trimmer-7000,de,Barttrimmer 7000,"Premium-Barttrimmer mit 40 Präzisions-Längenstufen, titanbeschichteten Klingen, LED-Display, 90 Minuten Laufzeit, Reisesperre und 6 Aufsätzen.",Barttrimmer 7000 | Spree Commerce Demo,"Premium-Barttrimmer mit 40 Präzisionsstufen und LED-Display. 90 Minuten Laufzeit und 6 Aufsätze."
beard-trimmer-7000,fr,Tondeuse à Barbe 7000,"Tondeuse à barbe premium avec 40 hauteurs de coupe de précision, lames titane, écran LED, 90 minutes d'autonomie, verrouillage voyage et 6 têtes de coupe.",Tondeuse à Barbe 7000 | Spree Commerce Demo,"Tondeuse à barbe premium avec 40 réglages de précision et écran LED. 90 minutes d'autonomie et 6 têtes."
multigroom-kit,de,Multigrooming-Set 10-in-1,"Komplettes Pflegeset mit 10 Aufsätzen für Bart, Haare, Nase, Ohren und Körper. Edelstahlklingen, 90 Minuten Laufzeit und Aufbewahrungstasche.",Multigrooming-Set 10-in-1 | Spree Commerce Demo,"Multigrooming-Set mit 10 Aufsätzen für Bart, Haare und Körper. Edelstahlklingen und 90 Minuten Laufzeit."
multigroom-kit,fr,Kit Multifonction 10-en-1,"Kit de toilettage complet avec 10 accessoires pour barbe, cheveux, nez, oreilles et corps. Lames en acier inoxydable, 90 minutes d'autonomie et pochette de rangement.",Kit Multifonction 10-en-1 | Spree Commerce Demo,"Kit de toilettage 10-en-1 avec lames inox et 90 minutes d'autonomie. Pour barbe, cheveux et corps."
rotary-shaver-5000,de,Rotationsrasierer 5000,"Nass- und Trockenrasierer mit 3 flexiblen Scherköpfen, 60 Minuten kabelloser Laufzeit, ausklappbarem Trimmer und Reisetasche. Passt sich den Gesichtskonturen für eine gründliche Rasur an.",Rotationsrasierer 5000 | Spree Commerce Demo,"Rotationsrasierer für Nass- und Trockenrasur mit 3 Flexköpfen und 60 Minuten Laufzeit. Inklusive Reisetasche."
rotary-shaver-5000,fr,Rasoir Rotatif 5000,"Rasoir rotatif utilisable sous la douche avec 3 têtes flexibles, 60 minutes d'autonomie sans fil, tondeuse rétractable et étui de voyage. S'adapte aux contours du visage pour un rasage de près.",Rasoir Rotatif 5000 | Spree Commerce Demo,"Rasoir rotatif waterproof avec 3 têtes flexibles et 60 minutes d'autonomie. Étui de voyage inclus."
rotary-shaver-9000,de,Rotationsrasierer 9000,"Premium-Rotationsrasierer mit Nanopräzisionsklingen, Hautkomfortsensor, 90 Minuten Laufzeit, kabelloser Ladeplatte und Reinigungsstation. Ultragründliche Rasur ohne Hautreizung.",Rotationsrasierer 9000 | Spree Commerce Demo,"Premium-Rotationsrasierer mit Nanopräzisionsklingen und Hautkomfortsensor. 90 Minuten Laufzeit und Reinigungsstation."
rotary-shaver-9000,fr,Rasoir Rotatif 9000,"Rasoir rotatif premium avec lames nano-précision, capteur de confort cutané, 90 minutes d'autonomie, socle de charge sans fil et station de nettoyage. Rasage ultra-précis sans irritation.",Rasoir Rotatif 9000 | Spree Commerce Demo,"Rasoir rotatif premium avec lames nano-précision et station de nettoyage. 90 minutes d'autonomie sans irritation."
