slug,sku,name,price,compare_at_price,currency,status,description,meta_title,meta_description,meta_keywords,tags,tax_category,shipping_category,category1,option1_name,option1_value,option2_name,option2_value,image1_src,width,height,depth,dimensions_unit,weight,weight_unit,available_on,discontinue_on,inventory_count,inventory_backorderable,track_inventory,metafield.custom.wattage,metafield.custom.voltage,metafield.custom.warranty,metafield.custom.capacity,metafield.custom.runtime,metafield.custom.room_coverage,metafield.custom.noise_level,metafield.custom.connectivity
automatic-espresso-machine,AUTOMATIC-ESPRESSO-MACHINE,Automatic Espresso Machine,0,0,USD,active,"Fully automatic bean-to-cup espresso machine with ceramic grinder, 15-bar pressure system, and intuitive touch display. Delivers barista-quality espresso, cappuccino, and latte at the touch of a button.",Automatic Espresso Machine | Spree Commerce Demo,Shop the Automatic Espresso Machine on the Spree Commerce demo store. Bean-to-cup coffee with 15-bar pressure & ceramic grinder. Spree ecommerce in action.,"automatic espresso machine, bean-to-cup coffee machine, home espresso machine, spree commerce, spree demo store, ecommerce platform demo","coffee, espresso, kitchen, coffee machines, bean-to-cup, automatic",Default,Default,Kitchen -> Coffee Machines,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/automatic-espresso-machine.webp,,,,in,,lb,,,,,,1400W,220-240V,2 Years,,,,,
automatic-espresso-machine,AUTOMATIC-ESPRESSO-MACHINE-MATTE-BLACK,,879.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/automatic-espresso-machine-matte-black.webp,13.8,15.7,11.8,in,19.8,lb,,,5000,TRUE,TRUE,,,,,,,,
automatic-espresso-machine,AUTOMATIC-ESPRESSO-MACHINE-SILVER,,879.99,0,USD,,,,,,,,,,Color,Silver,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/automatic-espresso-machine-silver.webp,13.8,15.7,11.8,in,19.8,lb,,,5000,TRUE,TRUE,,,,,,,,
automatic-espresso-machine,AUTOMATIC-ESPRESSO-MACHINE-WHITE,,879.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/automatic-espresso-machine-white.webp,13.8,15.7,11.8,in,19.8,lb,,,5000,TRUE,TRUE,,,,,,,,
semi-automatic-espresso-machine,SEMI-AUTOMATIC-ESPRESSO-MACHINE,Semi-Automatic Espresso Machine,0,0,USD,active,"Professional-grade semi-automatic espresso machine with 58mm portafilter, PID temperature control, and steam wand for manual milk frothing.",Semi-Automatic Espresso Machine | Spree Commerce Demo,"Browse the Semi-Automatic Espresso Machine on the Spree Commerce demo store. 58mm portafilter, PID temperature control & steam wand. Powered by Spree.","semi-automatic espresso machine, espresso machine, home barista, PID espresso machine, spree commerce demo, ecommerce example","coffee, espresso, kitchen, coffee machines, semi-automatic, barista",Default,Default,Kitchen -> Coffee Machines,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/semi-automatic-espresso-machine.webp,,,,in,,lb,,,,,,1350W,220-240V,2 Years,,,,,
semi-automatic-espresso-machine,SEMI-AUTOMATIC-ESPRESSO-MACHINE-STAINLESS-STEEL,,549.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/semi-automatic-espresso-machine-stainless-steel.webp,11.8,15,12.6,in,17.6,lb,,,5000,TRUE,TRUE,,,,,,,,
semi-automatic-espresso-machine,SEMI-AUTOMATIC-ESPRESSO-MACHINE-MATTE-BLACK,,549.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/semi-automatic-espresso-machine-matte-black.webp,11.8,15,12.6,in,17.6,lb,,,5000,TRUE,TRUE,,,,,,,,
drip-coffee-maker,DRIP-COFFEE-MAKER,Drip Coffee Maker 1.5L,0,0,USD,active,"Programmable drip coffee maker with thermal carafe, adjustable brew strength, and 24-hour timer. Brews up to 12 cups.",Drip Coffee Maker 1.5L | Spree Commerce Demo,"Explore the Drip Coffee Maker 1.5L on the Spree Commerce demo store. Programmable, thermal carafe, brew strength control & 24-hour timer for up to 12 cups.","drip coffee maker, programmable coffee maker, thermal carafe coffee machine, spree commerce, spree demo store, open source ecommerce","coffee, drip coffee, kitchen, coffee machines, programmable, 12-cup",Default,Default,Kitchen -> Coffee Machines,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/drip-coffee-maker.webp,,,,in,,lb,,,,,,1000W,220-240V,2 Years,1.5L,,,,
drip-coffee-maker,DRIP-COFFEE-MAKER-BLACK,,89.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/drip-coffee-maker-black.webp,7.9,14.6,9.1,in,4.4,lb,,,5000,TRUE,TRUE,,,,,,,,
drip-coffee-maker,DRIP-COFFEE-MAKER-WHITE,,89.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/drip-coffee-maker-white.webp,7.9,14.6,9.1,in,4.4,lb,,,5000,TRUE,TRUE,,,,,,,,
drip-coffee-maker,DRIP-COFFEE-MAKER-STEEL-GREY,,89.99,0,USD,,,,,,,,,,Color,Steel Grey,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/drip-coffee-maker-steel-grey.webp,7.9,14.6,9.1,in,4.4,lb,,,5000,TRUE,TRUE,,,,,,,,
digital-air-fryer-4l,DIGITAL-AIR-FRYER-4L,Digital Air Fryer 4.2L,0,0,USD,active,"Compact digital air fryer with 8 preset programs, rapid air circulation technology, and dishwasher-safe basket. Perfect for small households.",Digital Air Fryer 4.2L | Spree Commerce Demo,"Shop the Digital Air Fryer 4.2L on the Spree Commerce demo store. 8 presets, rapid air circulation & dishwasher-safe basket. Perfect for small households.","digital air fryer, 4L air fryer, compact air fryer, spree commerce, spree demo store, ecommerce platform demo","air fryer, kitchen, cooking, healthy cooking, compact, 4L",Default,Default,Kitchen -> Air Fryers,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/digital-air-fryer-4l.webp,,,,in,,lb,,,,,,1400W,220-240V,2 Years,4.2L,,,,
digital-air-fryer-4l,DIGITAL-AIR-FRYER-4L-MATTE-BLACK,,119.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/digital-air-fryer-4l-matte-black.webp,11,11.8,11,in,7.7,lb,,,5000,TRUE,TRUE,,,,,,,,
digital-air-fryer-4l,DIGITAL-AIR-FRYER-4L-WHITE,,119.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/digital-air-fryer-4l-white.webp,11,11.8,11,in,7.7,lb,,,5000,TRUE,TRUE,,,,,,,,
digital-air-fryer-6l,DIGITAL-AIR-FRYER-6L,Digital Air Fryer 6.2L,0,0,USD,active,"Large-capacity digital air fryer with touchscreen controls, 8 presets, and transparent viewing window. Feeds families of 4-6.",Digital Air Fryer 6.2L | Spree Commerce Demo,"Browse the Digital Air Fryer 6.2L on the Spree Commerce demo store. Touchscreen, 8 presets & viewing window. Feeds families of 4–6. Powered by Spree.","digital air fryer, 6L air fryer, family air fryer, touchscreen air fryer, spree commerce, spree demo store","air fryer, kitchen, cooking, healthy cooking, family size, 6L",Default,Default,Kitchen -> Air Fryers,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/digital-air-fryer-6l.webp,,,,in,,lb,,,,,,1800W,220-240V,2 Years,6.2L,,,,
digital-air-fryer-6l,DIGITAL-AIR-FRYER-6L-MATTE-BLACK,,179.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/digital-air-fryer-6l-matte-black.webp,13,13,12.6,in,11,lb,,,5000,TRUE,TRUE,,,,,,,,
digital-air-fryer-6l,DIGITAL-AIR-FRYER-6L-SILVER,,179.99,0,USD,,,,,,,,,,Color,Silver,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/digital-air-fryer-6l-silver.webp,13,13,12.6,in,11,lb,,,5000,TRUE,TRUE,,,,,,,,
digital-air-fryer-6l,DIGITAL-AIR-FRYER-6L-WHITE,,179.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/digital-air-fryer-6l-white.webp,13,13,12.6,in,11,lb,,,5000,TRUE,TRUE,,,,,,,,
dual-basket-air-fryer,DUAL-BASKET-AIR-FRYER,Dual Basket Air Fryer 8L,0,0,USD,active,"Dual-zone air fryer with two independent 4L baskets, sync-finish technology, and 12 cooking presets. Cook two dishes simultaneously at different temperatures.",Dual Basket Air Fryer 8L | Spree Commerce Demo,"Shop the Dual Basket Air Fryer 8L on the Spree Commerce demo store. Two 4L baskets, sync-finish tech & 12 cooking presets. Cook two dishes simultaneously.","dual basket air fryer, double air fryer, 8L air fryer, spree commerce, spree demo, ecommerce example","air fryer, kitchen, cooking, dual basket, family size, 8L",Default,Default,Kitchen -> Air Fryers,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/dual-basket-air-fryer.webp,,,,in,,lb,,,,,,2200W,220-240V,2 Years,8L,,,,
dual-basket-air-fryer,DUAL-BASKET-AIR-FRYER-MATTE-BLACK,,249.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/dual-basket-air-fryer-matte-black.webp,15.7,12.6,13,in,14.3,lb,,,5000,TRUE,TRUE,,,,,,,,
dual-basket-air-fryer,DUAL-BASKET-AIR-FRYER-STAINLESS-STEEL,,249.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/dual-basket-air-fryer-stainless-steel.webp,15.7,12.6,13,in,14.3,lb,,,5000,TRUE,TRUE,,,,,,,,
high-speed-blender,HIGH-SPEED-BLENDER,High Speed Blender 2.0L,0,0,USD,active,"Professional-grade blender with 1500W motor, variable speed dial, pulse function, and BPA-free Tritan jug. Crushes ice and blends frozen fruit effortlessly.",High Speed Blender 2.0L | Spree Commerce Demo,"Discover the High Speed Blender 2.0L on the Spree Commerce demo store. 1500W motor, variable speed & BPA-free Tritan jug. Crushes ice & frozen fruit effortlessly.","high speed blender, professional blender, 2L blender, spree commerce, spree demo store, open source ecommerce","blender, kitchen, smoothies, high speed, professional",Default,Default,Kitchen -> Blenders,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/high-speed-blender.webp,,,,in,,lb,,,,,,1500W,220-240V,3 Years,2.0L,,,,
high-speed-blender,HIGH-SPEED-BLENDER-STAINLESS-STEEL,,199.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/high-speed-blender-stainless-steel.webp,7.9,19.7,7.9,in,7.7,lb,,,5000,TRUE,TRUE,,,,,,,,
high-speed-blender,HIGH-SPEED-BLENDER-MATTE-BLACK,,199.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/high-speed-blender-matte-black.webp,7.9,19.7,7.9,in,7.7,lb,,,5000,TRUE,TRUE,,,,,,,,
high-speed-blender,HIGH-SPEED-BLENDER-WHITE,,199.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/high-speed-blender-white.webp,7.9,19.7,7.9,in,7.7,lb,,,5000,TRUE,TRUE,,,,,,,,
personal-blender,PERSONAL-BLENDER,Personal Blender 600ml,0,0,USD,active,Compact single-serve blender with portable travel cup. Blend and go in seconds. Dishwasher-safe components.,Personal Blender 600ml | Spree Commerce Demo,Shop the Personal Blender 600ml on the Spree Commerce demo store. Single-serve with portable travel cup. Blend and go. Dishwasher-safe components.,"personal blender, single serve blender, travel blender, portable blender, spree commerce demo, ecommerce platform","blender, kitchen, personal, single serve, portable, travel",Default,Default,Kitchen -> Blenders,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/personal-blender.webp,,,,in,,lb,,,,,,350W,220-240V,2 Years,600ml,,,,
personal-blender,PERSONAL-BLENDER-WHITE,,49.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/personal-blender-white.webp,5.1,15,5.1,in,2,lb,,,5000,TRUE,TRUE,,,,,,,,
personal-blender,PERSONAL-BLENDER-MINT,,49.99,0,USD,,,,,,,,,,Color,Mint,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/personal-blender-mint.webp,5.1,15,5.1,in,2,lb,,,5000,TRUE,TRUE,,,,,,,,
personal-blender,PERSONAL-BLENDER-GREY,,49.99,0,USD,,,,,,,,,,Color,Grey,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/personal-blender-grey.webp,5.1,15,5.1,in,2,lb,,,5000,TRUE,TRUE,,,,,,,,
electric-kettle-1-7l,ELECTRIC-KETTLE-1-7L,Electric Kettle 1.7L,0,0,USD,active,"Rapid-boil electric kettle with concealed element, 360-degree swivel base, water level indicator, and auto shut-off. Boils a full kettle in under 3 minutes.",Electric Kettle 1.7L | Spree Commerce Demo,"Browse the Electric Kettle 1.7L on the Spree Commerce demo store. Rapid-boil, concealed element & 360° swivel base. Auto shut-off. Boils full in under 3 minutes.","electric kettle, 1.7L kettle, rapid boil kettle, spree commerce, spree demo store, ecommerce demo","kettle, kitchen, electric kettle, rapid boil",Default,Default,Kitchen -> Kettles,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/electric-kettle-1-7l.webp,,,,in,,lb,,,,,,2200W,220-240V,2 Years,1.7L,,,,
electric-kettle-1-7l,ELECTRIC-KETTLE-1-7L-WHITE,,44.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/electric-kettle-1-7l-white.webp,7.9,9.8,5.5,in,2.4,lb,,,5000,TRUE,TRUE,,,,,,,,
electric-kettle-1-7l,ELECTRIC-KETTLE-1-7L-BLACK,,44.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/electric-kettle-1-7l-black.webp,7.9,9.8,5.5,in,2.4,lb,,,5000,TRUE,TRUE,,,,,,,,
electric-kettle-1-7l,ELECTRIC-KETTLE-1-7L-STAINLESS-STEEL,,44.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/electric-kettle-1-7l-stainless-steel.webp,7.9,9.8,5.5,in,2.4,lb,,,5000,TRUE,TRUE,,,,,,,,
temperature-control-kettle,TEMPERATURE-CONTROL-KETTLE,Temperature Control Kettle 1.7L,0,0,USD,active,"Variable temperature kettle with 5 heat settings (40-100C), keep-warm function, and LED temperature display. Ideal for specialty tea and pour-over coffee.",Temperature Control Kettle 1.7L | Spree Commerce Demo,"Explore the Temperature Control Kettle 1.7L on the Spree Commerce demo store. 5 heat settings, keep-warm & LED display. Ideal for specialty tea & pour-over.","temperature control kettle, variable temperature kettle, tea kettle, pour-over kettle, spree commerce demo, open source ecommerce","kettle, kitchen, temperature control, specialty tea, pour-over coffee",Default,Default,Kitchen -> Kettles,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/temperature-control-kettle.webp,,,,in,,lb,,,,,,2200W,220-240V,2 Years,1.7L,,,,
temperature-control-kettle,TEMPERATURE-CONTROL-KETTLE-STAINLESS-STEEL,,79.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/temperature-control-kettle-stainless-steel.webp,8.3,10.2,5.5,in,2.9,lb,,,5000,TRUE,TRUE,,,,,,,,
temperature-control-kettle,TEMPERATURE-CONTROL-KETTLE-MATTE-BLACK,,79.99,0,USD,,,,,,,,,,Color,Matte Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/temperature-control-kettle-matte-black.webp,8.3,10.2,5.5,in,2.9,lb,,,5000,TRUE,TRUE,,,,,,,,
2-slice-toaster,2-SLICE-TOASTER,2-Slice Toaster,0,0,USD,active,"Compact 2-slice toaster with 7 browning levels, defrost and reheat functions, extra-wide slots, and removable crumb tray.",2-Slice Toaster | Spree Commerce Demo,"Shop the 2-Slice Toaster on the Spree Commerce demo store. 7 browning levels, defrost & reheat, extra-wide slots & crumb tray. Compact kitchen essential.","2-slice toaster, toaster, kitchen toaster, spree commerce, spree demo store, ecommerce platform example","toaster, kitchen, 2-slice, compact",Default,Default,Kitchen -> Toasters,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/2-slice-toaster.webp,,,,in,,lb,,,,,,850W,220-240V,2 Years,,,,,
2-slice-toaster,2-SLICE-TOASTER-WHITE,,39.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/2-slice-toaster-white.webp,11.4,7.1,5.9,in,2.6,lb,,,5000,TRUE,TRUE,,,,,,,,
2-slice-toaster,2-SLICE-TOASTER-BLACK,,39.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/2-slice-toaster-black.webp,11.4,7.1,5.9,in,2.6,lb,,,5000,TRUE,TRUE,,,,,,,,
2-slice-toaster,2-SLICE-TOASTER-STAINLESS-STEEL,,39.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/2-slice-toaster-stainless-steel.webp,11.4,7.1,5.9,in,2.6,lb,,,5000,TRUE,TRUE,,,,,,,,
4-slice-toaster,4-SLICE-TOASTER,4-Slice Toaster,0,0,USD,active,"Wide 4-slice toaster with independent dual controls, 7 browning levels, bagel mode, and high-lift lever for smaller items.",4-Slice Toaster | Spree Commerce Demo,"Browse the 4-Slice Toaster on the Spree Commerce demo store. Independent dual controls, 7 browning levels, bagel mode & high-lift lever for smaller items.","4-slice toaster, family toaster, wide slot toaster, spree commerce, spree demo store, open source ecommerce","toaster, kitchen, 4-slice, family, bagel mode",Default,Default,Kitchen -> Toasters,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/4-slice-toaster.webp,,,,in,,lb,,,,,,1600W,220-240V,2 Years,,,,,
4-slice-toaster,4-SLICE-TOASTER-WHITE,,64.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/4-slice-toaster-white.webp,16.5,7.1,5.9,in,4,lb,,,5000,TRUE,TRUE,,,,,,,,
4-slice-toaster,4-SLICE-TOASTER-BLACK,,64.99,0,USD,,,,,,,,,,Color,Black,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/4-slice-toaster-black.webp,16.5,7.1,5.9,in,4,lb,,,5000,TRUE,TRUE,,,,,,,,
4-slice-toaster,4-SLICE-TOASTER-STAINLESS-STEEL,,64.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/4-slice-toaster-stainless-steel.webp,16.5,7.1,5.9,in,4,lb,,,5000,TRUE,TRUE,,,,,,,,
food-processor-3l,FOOD-PROCESSOR-3L,Food Processor 3.0L,0,0,USD,active,"Versatile food processor with 1000W motor, stainless steel S-blade, slicing and shredding discs, dough hook, and citrus press attachment.",Food Processor 3.0L | Spree Commerce Demo,"Discover the Food Processor 3.0L on the Spree Commerce demo store. 1000W motor with S-blade, slicing, shredding, dough hook & citrus press attachment.","food processor, 3L food processor, kitchen food processor, spree commerce, spree demo store, ecommerce example","food processor, kitchen, 3L, versatile, cooking prep",Default,Default,Kitchen -> Food Processors,,,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/food-processor-3l.webp,,,,in,,lb,,,,,,1000W,220-240V,3 Years,3.0L,,,,
food-processor-3l,FOOD-PROCESSOR-3L-STAINLESS-STEEL,,149.99,0,USD,,,,,,,,,,Color,Stainless Steel,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/food-processor-3l-stainless-steel.webp,10.2,16.5,9.4,in,8.8,lb,,,5000,TRUE,TRUE,,,,,,,,
food-processor-3l,FOOD-PROCESSOR-3L-WHITE,,149.99,0,USD,,,,,,,,,,Color,White,,,https://raw.githubusercontent.com/spree/spree/main/docs/images/demo-images/food-processor-3l-white.webp,10.2,16.5,9.4,in,8.8,lb,,,5000,TRUE,TRUE,,,,,,,,
